split,horizon,mae,rmse,mape,directional_acc
test,1,0.007474710427127998,0.009878594424392583,2.229848101285891,0.4539641943734015
test,5,0.00704969704972677,0.009400809352015635,1.6793183929226736,0.4731457800511509
validation,1,0.0070441953554437236,0.009937431436997062,1.6601131802739448,0.49612403100775193
validation,5,0.006954473818317322,0.010113792156362999,1.3833426070866153,0.5168831168831168
