model,n_features,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_diracc_mean,test_diracc_std,val_diracc_mean,val_diracc_std
LSTM-all,15,83.37437466252595,1.2993889874141764,0.006836258340626955,6.537626229334807e-05,0.009130708143279197,7.105134904440888e-05,0.48465473145780047,0.010318600542975452,0.4844961240310077,0.02374513135588324
LSTM-causal,4,81.78842326742597,0.7905301350883274,0.006759882345795632,5.368714387820262e-05,0.009043600212431302,4.36967471262555e-05,0.4892583120204604,0.023565523273226495,0.4723514211886305,0.023225488250658892
LSTM-granger,13,83.03875438286923,0.7139687118474001,0.006820871355012059,3.423032889690982e-05,0.009112484392193193,3.919445687412458e-05,0.49040920716112535,0.012819653232585307,0.48604651162790696,0.024753209260327296
LSTM-pca,4,83.03741851705126,1.3185781181928324,0.006815274059772491,7.842979060873374e-05,0.009112231623461446,7.190547375567329e-05,0.4819693094629156,0.0185649682354238,0.4837209302325582,0.027415359041748518
LSTM-reg-l1,15,82.35569912358187,1.5640454438157265,0.006772898323833943,7.15328533528279e-05,0.009074640475452861,8.563076325797419e-05,0.4920716112531969,0.01650667908779546,0.4896640826873385,0.02369821962480207
LSTM-reg-l2,15,82.22533360822126,1.001155783043092,0.00676703336648643,5.56686725059515e-05,0.00906766727286782,5.521510243379245e-05,0.4992327365728901,0.017546074280904267,0.495219638242894,0.021798962427093303
