Date,y_true,y_pred,price_true,price_prev_true,price_pred_one_step,price_pred_rolling,price_true_from_return
2022-01-03,-0.0154956234619021,-0.0001382827758789,1799.4000244140625,1827.5,1827.2473056991187,1827.2473056991187,1799.4000237143161
2022-01-04,0.0080810617655515,-0.0001172870397567,1814.0,1799.4000244140625,1799.1889904878751,1827.0330058392735,1813.9999993494605
2022-01-05,0.0058264196850359,-0.0002056062221527,1824.5999755859373,1814.0,1813.6270686528314,1826.6573951004705,1824.5999752743783
2022-01-06,-0.0198717005550861,-6.464123725891113e-05,1788.699951171875,1824.5999755859373,1824.4820349979668,1826.5393215226554,1788.6999498745206
2022-01-07,0.0046295360662043,0.0003459155559539,1797.0,1788.699951171875,1789.3187973380063,1827.1712591797634,1796.9999999707761
2022-01-10,0.0007787864888086,0.000271737575531,1798.4000244140625,1797.0,1797.4883787756562,1827.6678377342835,1798.4000244096758
2022-01-11,0.0111695667728781,2.288818359375e-05,1818.5999755859373,1798.4000244140625,1798.441186995063,1827.7096702100348,1818.59997591423
2022-01-12,0.004717752803117,0.0002711713314056,1827.199951171875,1818.5999755859373,1819.0931946330215,1828.2053598801049,1827.199951046739
2022-01-13,-0.0032891160808503,0.0005837082862854,1821.199951171875,1827.199951171875,1828.266814262196,1829.2728100071324,1821.199951186906
2022-01-14,-0.0025840250309556,0.0007194876670837,1816.5,1821.199951171875,1822.510753572571,1830.5894228202078,1816.4999999227114
2022-01-17,0.0,0.0001515597105026,1816.5,1816.5,1816.7753290779988,1830.866887448878,1816.5
2022-01-18,-0.00231478898786,0.0002122074365615,1812.300048828125,1816.5,1816.8855157117175,1831.2554522444602,1812.3000486794504
2022-01-19,0.0168521404266357,-0.0002674013376235,1843.0999755859373,1812.300048828125,1811.8155021579944,1830.7658375517292,1843.0999771907009
2022-01-20,-0.0003255782357882,3.486871719360352e-06,1842.5,1843.0999755859373,1843.1064022503226,1830.7722212084825,1842.5000000222974
2022-01-21,-0.0058242282830178,-7.331371307373047e-06,1831.800048828125,1842.5,1842.4864919978822,1830.7587991867506,1831.8000491134653
2022-01-24,0.0053899148479104,0.0001722574234008,1841.699951171875,1831.800048828125,1832.1156171634352,1831.0741881436313,1841.69995095747
2022-01-25,0.0059549766592681,-0.0001682043075561,1852.699951171875,1841.699951171875,1841.3901953587235,1830.766219479285,1852.6999512597838
2022-01-26,-0.0123826740309596,9.92119312286377e-05,1829.9000244140625,1852.699951171875,1852.883770230389,1830.9478623419682,1829.9000249529715
2022-01-27,-0.0202038083225488,6.406009197235107e-05,1793.300048828125,1829.9000244140625,1830.017251732683,1831.0651567873329,1793.3000494923208
2022-01-28,-0.00469512026757,-0.0002520978450775,1784.9000244140625,1793.300048828125,1792.8480187305388,1830.6036073873593,1784.9000244164167
2022-01-31,0.0056426171213388,-0.0003107190132141,1795.0,1784.9000244140625,1784.3455081936183,1830.034892400741,1795.000000201998
2022-02-01,0.0029483227990567,0.0002810955047607,1800.300048828125,1795.0,1795.5046373533683,1830.5493792891382,1800.3000487122642
2022-02-02,0.0049313870258629,0.0004914700984954,1809.199951171875,1800.300048828125,1801.1850599308766,1831.4492606871645,1809.1999515278544
2022-02-03,-0.0034327874891459,0.0007398277521133,1803.0,1809.199951171875,1810.5389427553664,1832.8047190178277,1802.9999998601434
2022-02-04,0.0019946680404245,0.0010076463222503,1806.5999755859373,1803.0,1804.817701965567,1834.6524687351096,1806.5999756614824
2022-02-07,0.0077194916084408,0.0004335343837738,1820.5999755859373,1806.5999755859373,1807.383368594711,1835.4480261008573,1820.5999758573473
2022-02-08,0.003290198277682,0.0002062618732452,1826.5999755859373,1820.5999755859373,1820.9755346777613,1835.8266480952636,1826.5999756722315
2022-02-09,0.0046971389092504,-5.726516246795654e-05,1835.199951171875,1826.5999755859373,1826.4953780364979,1835.721522194052,1835.199951231161
2022-02-10,0.0005447513540275,0.0001037120819091,1836.199951171875,1835.199951171875,1835.3902934497569,1835.9119185679558,1836.199951181137
2022-02-11,0.0025020940229296,0.0001254081726074,1840.800048828125,1836.199951171875,1836.4302400920476,1836.1421713642208,1840.8000486328876
2022-02-14,0.0146680539473891,-0.000339925289154,1868.0,1840.800048828125,1840.1744206786914,1835.5181262760543,1868.0000007570043
2022-02-15,-0.007091439794749,-0.0002551674842834,1854.800048828125,1868.0,1867.523407947342,1835.0498214840347,1854.8000491090454
2022-02-16,0.0082684513181447,-0.0001106858253479,1870.199951171875,1854.800048828125,1854.59476011535,1834.8467187204951,1870.1999516728758
2022-02-17,0.016176862642169,0.0001237094402313,1900.699951171875,1870.199951171875,1870.4313268723392,1835.0737206218278,1900.6999509205411
2022-02-18,-0.0011054540518671,-0.0001707077026367,1898.5999755859373,1900.699951171875,1900.3755147424954,1834.7604861393415,1898.5999756365532
2022-02-21,0.0,-4.5165419578552246e-05,1898.5999755859373,1898.5999755859373,1898.5142264578903,1834.6776202835085,1898.5999755859373
2022-02-22,0.0039424975402653,7.805228233337402e-05,1906.0999755859373,1898.5999755859373,1898.7481714307066,1834.8208266478368,1906.0999759716165
2022-02-23,0.0016250236658379,0.0002552419900894,1909.199951171875,1906.0999755859373,1906.5865544320502,1835.2892097400616,1909.1999512404427
2022-02-24,0.0082936212420463,8.237361907958984e-05,1925.0999755859373,1909.199951171875,1909.357225358933,1835.4403953810945,1925.0999756937504
2022-02-25,-0.0202546417713165,-0.0008132755756378,1886.5,1925.0999755859373,1923.5349752696586,1833.9482833683624,1886.4999991830066
2022-02-28,0.0068147992715239,0.0003736913204193,1899.4000244140625,1886.5,1887.2051004127177,1834.633741990947,1899.40002443965
2022-03-01,0.0223862752318382,-3.409385681152344e-05,1942.4000244140625,1899.4000244140625,1899.3352676455127,1834.571193317115,1942.4000253076788
2022-03-02,-0.0111304959282279,-0.0007794499397277,1920.9000244140625,1942.4000244140625,1940.8866107238325,1833.1417940560102,1920.9000236522415
2022-03-03,0.0070033743977546,5.012750625610352e-05,1934.4000244140625,1920.9000244140625,1920.996316755481,1833.2336871859277,1934.4000240635346
2022-03-04,0.0157459080219268,-0.0006669461727142,1965.0999755859373,1934.4000244140625,1933.1103138528497,1832.011426630875,1965.0999742763174
2022-03-07,0.0145494099706411,-0.001433715224266,1993.9000244140625,1965.0999755859373,1962.284600539028,1829.3867259437502,1993.9000245801647
2022-03-08,0.022906282916665,-0.0013425052165985,2040.0999755859373,1993.9000244140625,1991.224999249301,1826.9324125538808,2040.0999770064648
2022-03-09,-0.026926590129733,-0.0006224066019058,1985.9000244140625,2040.0999755859373,2038.8305989677572,1825.79567155332,1985.9000243823646
