Date,y_true,y_pred
2022-01-03,-0.015495623461902142,-0.00031919777393341064
2022-01-04,0.008081061765551567,-0.00025631487369537354
2022-01-05,0.005826419685035944,-0.0018369704484939575
2022-01-06,-0.019871700555086136,-0.002771317958831787
2022-01-07,0.0046295360662043095,-0.002570927143096924
2022-01-10,0.0007787864888086915,-0.002488963305950165
2022-01-11,0.01116956677287817,-0.0017434954643249512
2022-01-12,0.004717752803117037,-0.00018656998872756958
2022-01-13,-0.0032891160808503628,-0.0008471459150314331
2022-01-14,-0.0025840250309556723,-0.0012626796960830688
2022-01-17,0.0,-0.0004177466034889221
2022-01-18,-0.0023147889878600836,-0.0005997419357299805
2022-01-19,0.016852140426635742,-0.0011445432901382446
2022-01-20,-0.00032557823578827083,-0.002033315598964691
2022-01-21,-0.005824228283017874,-0.001995757222175598
2022-01-24,0.005389914847910404,-0.001052364706993103
2022-01-25,0.005954976659268141,0.00019408762454986572
2022-01-26,-0.012382674030959606,0.00030068308115005493
2022-01-27,-0.020203808322548866,-0.0008017867803573608
2022-01-28,-0.004695120267570019,0.0012397021055221558
2022-01-31,0.005642617121338844,0.0011621266603469849
2022-02-01,0.0029483227990567684,0.0017196908593177795
2022-02-02,0.004931387025862932,0.0012447983026504517
2022-02-03,-0.003432787489145994,0.0007502660155296326
2022-02-04,0.0019946680404245853,-0.0006285607814788818
2022-02-07,0.007719491608440876,-0.0020294785499572754
2022-02-08,0.003290198277682066,-0.0019370093941688538
2022-02-09,0.004697138909250498,-0.0012146905064582825
2022-02-10,0.0005447513540275395,-0.0003532692790031433
2022-02-11,0.0025020940229296684,-0.0013318657875061035
2022-02-14,0.014668053947389126,-0.002378694713115692
2022-02-15,-0.0070914397947490215,-0.0014017373323440552
2022-02-16,0.008268451318144798,-0.0012603774666786194
2022-02-17,0.016176862642169,-0.0003230348229408264
2022-02-18,-0.0011054540518671274,-0.0011372268199920654
2022-02-21,0.0,0.00011932849884033203
2022-02-22,0.003942497540265322,0.0004157349467277527
2022-02-23,0.0016250236658379436,-0.00026441365480422974
2022-02-24,0.008293621242046356,-0.0013386234641075134
2022-02-25,-0.02025464177131653,-0.0009416863322257996
2022-02-28,0.0068147992715239525,0.0012286677956581116
2022-03-01,0.022386275231838226,0.0014024004340171814
2022-03-02,-0.011130495928227901,0.0035522058606147766
2022-03-03,0.007003374397754669,-0.0001537725329399109
2022-03-04,0.01574590802192688,-0.0021667778491973877
2022-03-07,0.014549409970641136,0.0005484744906425476
2022-03-08,0.022906282916665077,-0.0008301585912704468
2022-03-09,-0.026926590129733086,-0.002344876527786255
2022-03-10,0.006124492734670639,-0.0011356621980667114
2022-03-11,-0.007737189065665007,-0.001753285527229309
2022-03-14,-0.011719169095158577,-0.002417139708995819
2022-03-15,-0.015997860580682755,-0.002508692443370819
2022-03-16,-0.010686925612390041,-0.0007592290639877319
2022-03-17,0.017714276909828186,0.0019744187593460083
2022-03-18,-0.007182949222624302,-0.0012870952486991882
2022-03-21,0.00020743851200677454,-0.001403316855430603
2022-03-22,-0.004104660823941231,-0.002787768840789795
2022-03-23,0.008244168013334274,-0.0036135688424110413
2022-03-24,0.012826608493924141,-0.004101887345314026
2022-03-25,-0.003984235227108002,-0.004315115511417389
2022-03-28,-0.007294465787708759,-0.003236614167690277
2022-03-29,-0.014331938698887825,-0.005079939961433411
2022-03-30,0.011182017624378204,-0.002195581793785095
2022-03-31,0.008087174966931343,-0.0004324391484260559
2022-04-01,-0.01556269358843565,-0.00020723044872283936
2022-04-04,0.005249070469290018,0.0013971701264381409
2022-04-05,-0.003270908026024699,0.0004420354962348938
2022-04-06,-0.0023429577704519033,-0.0013613700866699219
2022-04-07,0.00799548625946045,-0.0022497549653053284
2022-04-08,0.004025358706712723,-0.0017309188842773438
2022-04-11,0.0013896774034947157,-0.0014812201261520386
