Date,y_true,y_pred,price_true,price_prev_true,price_pred_one_step,price_pred_rolling,price_true_from_return
2022-01-03,-0.0154956234619021,0.0002819672226905,1799.4000244140625,1827.5,1828.0153677544597,1828.0153677544597,1799.4000237143161
2022-01-04,0.0080810617655515,-0.0002716854214668,1814.0,1799.4000244140625,1798.911220063557,1827.5187900883343,1813.9999993494605
2022-01-05,0.0058264196850359,-0.0003712996840476,1824.5999755859373,1814.0,1813.326587399817,1826.840358897421,1824.5999752743783
2022-01-06,-0.0198717005550861,-0.001536525785923,1788.699951171875,1824.5999755859373,1821.7985834312494,1824.035526979324,1788.6999498745206
2022-01-07,0.0046295360662043,-0.0003993138670921,1797.0,1788.699951171875,1787.9858410638283,1823.3073097026372,1796.9999999707761
2022-01-10,0.0007787864888086,-0.0007139667868614,1798.4000244140625,1797.0,1795.7174595841211,1822.0059934448402,1798.4000244096758
2022-01-11,0.0111695667728781,-0.0010458305478096,1818.5999755859373,1798.4000244140625,1796.5201858989622,1820.101479991368,1818.59997591423
2022-01-12,0.004717752803117,0.0001332610845565,1827.199951171875,1818.5999755859373,1818.8423403395948,1820.344044850464,1827.199951046739
2022-01-13,-0.0032891160808503,0.0006691962480545,1821.199951171875,1827.199951171875,1828.4231157465697,1821.5626199429105,1821.199951186906
2022-01-14,-0.0025840250309556,-0.0002536326646804,1816.5,1821.199951171875,1820.7380939488585,1821.1006707469114,1816.4999999227114
2022-01-17,0.0,-0.0006347224116325,1816.5,1816.5,1815.3473925708493,1819.945144095475,1816.5
2022-01-18,-0.00231478898786,-0.0003396645188331,1812.300048828125,1816.5,1815.8831041762824,1819.3270782772597,1812.3000486794504
2022-01-19,0.0168521404266357,-0.0013983324170112,1843.0999755859373,1812.300048828125,1809.7676219204618,1816.7848321134147,1843.0999771907009
2022-01-20,-0.0003255782357882,-0.0016997978091239,1842.5,1843.0999755859373,1839.9697394234113,1813.6992883793034,1842.5000000222974
2022-01-21,-0.0058242282830178,-0.0024207457900047,1831.800048828125,1842.5,1838.0451700627698,1809.3140933252978,1831.8000491134653
2022-01-24,0.0053899148479104,-0.0015089735388755,1841.699951171875,1831.800048828125,1829.037995482738,1806.5859451043596,1841.69995095747
