Date,y_true,y_pred,price_true,price_prev_true,price_pred_one_step,price_pred_rolling,price_true_from_return
2022-01-03,-0.0154956234619021,-0.0005761533975601,1799.4000244140625,1827.5,1826.4473829295277,1826.4473829295277,1799.4000237143161
2022-01-04,0.0080810617655515,-0.0015286654233932,1814.0,1799.4000244140625,1796.6514451781527,1823.657488918141,1813.9999993494605
2022-01-05,0.0058264196850359,-0.0018648877739906,1824.5999755859373,1814.0,1810.6202459884594,1820.2597415565936,1824.5999752743783
2022-01-06,-0.0198717005550861,-0.0027011409401893,1788.699951171875,1824.5999755859373,1819.6781241921162,1815.3495979273196,1788.6999498745206
2022-01-07,0.0046295360662043,-0.0008379369974136,1797.0,1788.699951171875,1787.201761087628,1813.8290864713458,1796.9999999707761
2022-01-10,0.0007787864888086,-0.0003068596124649,1798.4000244140625,1797.0,1796.4486578730427,1813.272580969692,1798.4000244096758
2022-01-11,0.0111695667728781,-0.0009577423334121,1818.5999755859373,1798.4000244140625,1796.6784451245508,1811.5367644220617,1818.59997591423
2022-01-12,0.004717752803117,0.0002796798944473,1827.199951171875,1818.5999755859373,1819.108672567994,1812.0434856896948,1827.199951046739
2022-01-13,-0.0032891160808503,-0.0002212226390838,1821.199951171875,1827.199951171875,1826.795777884332,1811.6426649845978,1821.199951186906
2022-01-14,-0.0025840250309556,-0.0016699060797691,1816.5,1821.199951171875,1818.1612561747017,1808.6199164394905,1816.4999999227114
2022-01-17,0.0,-0.0014880001544952,1816.5,1816.5,1813.7990577189817,1805.9306910045314,1816.5
2022-01-18,-0.00231478898786,-0.0006933510303497,1812.300048828125,1816.5,1815.2409643806302,1804.6789810865089,1812.3000486794504
2022-01-19,0.0168521404266357,-0.0023470669984817,1843.0999755859373,1812.300048828125,1808.0514470190858,1800.4482454592946,1843.0999771907009
2022-01-20,-0.0003255782357882,-0.0025659278035163,1842.5,1843.0999755859373,1838.3767763994342,1795.8343472438216,1842.5000000222974
2022-01-21,-0.0058242282830178,-0.0032987743616104,1831.800048828125,1842.5,1836.4320221861517,1789.9200552620457,1831.8000491134653
2022-01-24,0.0053899148479104,-0.001927226781845,1841.699951171875,1831.800048828125,1828.2731543694008,1786.4737953230847,1841.69995095747
2022-01-25,0.0059549766592681,-0.0003997385501861,1852.699951171875,1841.699951171875,1840.9638998273656,1785.7598155903158,1852.6999512597838
2022-01-26,-0.0123826740309596,-0.0001369267702102,1829.9000244140625,1852.699951171875,1852.4462843186802,1785.515314006184,1829.9000249529715
2022-01-27,-0.0202038083225488,-0.0010660886764526,1793.300048828125,1829.9000244140625,1827.9502282314793,1783.6128106471233,1793.3000494923208
2022-01-28,-0.00469512026757,0.0001909211277961,1784.9000244140625,1793.300048828125,1793.642460381684,1783.9533725256783,1784.9000244164167
2022-01-31,0.0056426171213388,0.0016409829258918,1795.0,1784.9000244140625,1787.8314194053037,1786.8832128020524,1795.000000201998
2022-02-01,0.0029483227990567,0.0023766532540321,1800.300048828125,1795.0,1799.2711661209512,1791.135065192368,1800.3000487122642
2022-02-02,0.0049313870258629,0.0013158917427062,1809.199951171875,1800.300048828125,1802.6706081544269,1793.4935564539896,1809.1999515278544
2022-02-03,-0.0034327874891459,9.51513648033142e-05,1803.0,1809.199951171875,1809.3721072067422,1793.6642179328599,1802.9999998601434
2022-02-04,0.0019946680404245,-0.0014032870531082,1806.5999755859373,1803.0,1800.4716478600633,1791.148957387248,1806.5999756614824
2022-02-07,0.0077194916084408,-0.0008623525500297,1820.5999755859373,1806.5999755859373,1805.042721037827,1789.6050213206433,1820.5999758573473
2022-02-08,0.003290198277682,-0.001167893409729,1826.5999755859373,1820.5999755859373,1818.4749500159173,1787.5161734234996,1826.5999756722315
2022-02-09,0.0046971389092504,-0.0015777125954627,1835.199951171875,1826.5999755859373,1823.7203979678372,1784.69821019467,1835.199951231161
2022-02-10,0.0005447513540275,-0.0005775690078735,1836.199951171875,1835.199951171875,1834.1403025963725,1783.6677214378853,1836.199951181137
2022-02-11,0.0025020940229296,-0.0024403780698776,1840.800048828125,1836.199951171875,1831.7243923281133,1779.3202047962914,1840.8000486328876
2022-02-14,0.0146680539473891,-0.001634806394577,1868.0,1840.800048828125,1837.7931556509432,1776.4137371507534,1868.0000007570043
2022-02-15,-0.007091439794749,-0.0024183019995689,1854.800048828125,1868.0,1863.4880696687594,1772.1230224711587,1854.8000491090454
2022-02-16,0.0082684513181447,-0.0015709698200225,1870.199951171875,1854.800048828125,1851.8885015045223,1769.3412562929495,1870.1999516728758
2022-02-17,0.016176862642169,-0.0007479861378669,1900.699951171875,1870.199951171875,1868.8015905757266,1768.0183083951115,1900.6999509205411
2022-02-18,-0.0011054540518671,-0.0010878890752792,1898.5999755859373,1900.699951171875,1898.6333247935627,1766.095946440393,1898.5999756365532
2022-02-21,0.0,0.0005357787013053,1898.5999755859373,1898.5999755859373,1899.61747756876,1767.0424365649405,1898.5999755859373
2022-02-22,0.0039424975402653,0.0006741285324096,1906.0999755859373,1898.5999755859373,1899.880307506764,1768.234051895227,1906.0999759716165
2022-02-23,0.0016250236658379,2.294778823852539e-06,1909.199951171875,1906.0999755859373,1906.1043496688162,1768.2381096059405,1909.1999512404427
2022-02-24,0.0082936212420463,-0.0010621100664138,1925.0999755859373,1909.199951171875,1907.1732471668245,1766.361043111977,1925.0999756937504
2022-02-25,-0.0202546417713165,-0.001261718571186,1886.5,1925.0999755859373,1922.672572866918,1764.133797954221,1886.4999991830066
2022-02-28,0.0068147992715239,0.0007930994033813,1899.4000244140625,1886.5,1887.9967754918969,1765.533486389527,1899.40002443965
2022-03-01,0.0223862752318382,0.0011290907859802,1942.4000244140625,1899.4000244140625,1901.5458306575836,1767.5280597966791,1942.4000253076788
2022-03-02,-0.0111304959282279,-0.001013770699501,1920.9000244140625,1942.4000244140625,1940.4318739777846,1765.7370996039806,1920.9000236522415
2022-03-03,0.0070033743977546,-0.0024942979216575,1934.4000244140625,1920.9000244140625,1916.1146979713558,1761.338313448423,1934.4000240635346
2022-03-04,0.0157459080219268,-0.0019347071647644,1965.0999755859373,1934.4000244140625,1930.6611448121325,1757.9339338944862,1965.0999742763174
2022-03-07,0.0145494099706411,-0.0020424276590347,1993.9000244140625,1965.0999755859373,1961.0904969718406,1754.3471451302946,1993.9000245801647
2022-03-08,0.022906282916665,-0.0030335634946823,2040.0999755859373,1993.9000244140625,1987.860567257844,1749.0332857138667,2040.0999770064648
